pro_id,pro_name,city,city_name,ipip_name
180,北京,202,北京市,北京-北京
221,上海,280,上海市,上海-上海
195,广东,217,广州市,广东-广州
195,广东,264,深圳市,广东-深圳
243,天津,279,天津市,天津-天津
357,江苏,590,南京市,江苏-南京
235,湖北,259,武汉市,湖北-武汉
349,辽宁,582,沈阳市,辽宁-沈阳
194,陕西,601,西安市,陕西-西安
353,四川,539,成都市,四川-成都
49,重庆,246,重庆市,重庆-重庆
355,浙江,573,杭州市,浙江-杭州
190,山东,516,青岛市,山东-青岛
349,辽宁,443,大连市,辽宁-大连
355,浙江,732,宁波市,浙江-宁波
357,江苏,595,苏州市,江苏-苏州
357,江苏,598,无锡市,江苏-无锡
190,山东,212,济南市,山东-济南
192,黑龙江,584,哈尔滨市,黑龙江-哈尔滨
351,吉林,587,长春市,吉林-长春
79,福建,476,厦门市,福建-厦门
195,广东,262,佛山市,广东-佛山
195,广东,263,东莞市,广东-东莞
196,河南,271,郑州市,河南-郑州
350,湖南,461,长沙市,湖南-长沙
79,福建,471,福州市,福建-福州
250,河北,293,石家庄市,河北-石家庄
239,江西,275,南昌市,江西-南昌
346,新疆,719,乌鲁木齐市,新疆-乌鲁木齐
227,云南,560,昆明市,云南-昆明
193,山西,667,太原市,山西-太原
80,甘肃,602,兰州市,甘肃-兰州
188,贵州,392,贵阳市,贵州-贵阳
236,安徽,609,合肥市,安徽-合肥
352,广西,532,南宁市,广西-南宁
183,内蒙古,433,呼和浩特市,内蒙古-呼和浩特
190,山东,518,烟台市,山东-烟台
250,河北,289,唐山市,河北-唐山
355,浙江,580,温州市,浙江-温州
190,山东,521,淄博市,山东-淄博
79,福建,479,泉州市,福建-泉州
183,内蒙古,425,包头市,内蒙古-包头
250,河北,288,邯郸市,河北-邯郸
357,江苏,596,徐州市,江苏-徐州
190,山东,846,济宁市,山东-济宁
355,浙江,1098,常州市,江苏-常州
357,江苏,597,常州市,江苏-常州
357,江苏,599,南通市,江苏-南通
239,江西,409,赣州市,江西-赣州
189,宁夏,575,银川市,宁夏-银川
356,青海,574,西宁市,青海-西宁
354,海南,557,海口市,海南-海口
190,山东,520,潍坊市,山东-潍坊
355,浙江,758,绍兴市,浙江-绍兴
355,浙江,730,台州市,浙江-台州
192,黑龙江,585,大庆市,黑龙江-大庆
349,辽宁,650,鞍山市,辽宁-鞍山
239,江西,402,九江市,江西-九江
195,广东,268,中山市,广东-中山
195,广东,267,珠海市,广东-珠海
195,广东,266,汕头市,广东-汕头
190,山东,517,泰安市,山东-泰安
351,吉林,710,吉林市,吉林-吉林市
352,广西,531,柳州市,广西-柳州
190,山东,519,临沂市,山东-临沂
238,西藏,1018,拉萨市,西藏-拉萨
250,河北,294,保定市,河北-保定
250,河北,744,秦皇岛市,河北-秦皇岛
250,河北,699,沧州市,河北-沧州
183,内蒙古,426,鄂尔多斯市,内蒙古-鄂尔多斯
190,山东,522,东营市,山东-东营
190,山东,528,威海市,山东-威海
357,江苏,592,扬州市,江苏-扬州
196,河南,872,洛阳市,河南-洛阳
190,山东,527,德州市,山东-德州
190,山东,515,滨州市,山东-滨州
355,浙江,760,湖州市,浙江-湖州
355,浙江,757,嘉兴市,浙江-嘉兴
355,浙江,570,金华市,浙江-金华
357,江苏,593,泰州市,江苏-泰州
357,江苏,603,镇江市,江苏-镇江
357,江苏,594,盐城市,江苏-盐城
352,广西,559,桂林市,广西-桂林
195,广东,636,惠州市,广东-惠州
195,广东,635,湛江市,广东-湛江
195,广东,265,江门市,广东-江门
195,广东,639,茂名市,广东-茂名
350,湖南,465,株洲市,湖南-株洲
350,湖南,462,岳阳市,湖南-岳阳
350,湖南,463,衡阳市,湖南-衡阳
194,陕西,713,宝鸡市,陕西-宝鸡
194,陕西,717,咸阳市,陕西-咸阳
235,湖北,1010,襄阳市,湖北-襄阳
196,河南,703,开封市,河南-开封
196,河南,707,许昌市,河南-许昌
196,河南,705,平顶山市,河南-平顶山
239,江西,404,萍乡市,江西-萍乡
239,江西,691,宜春市,江西-宜春
239,江西,403,上饶市,江西-上饶
239,江西,686,新余市,江西-新余
239,江西,572,景德镇市,江西-景德
